,Unnamed: 0,record_time,type,name,mappingName,capacity,used,percent,gov,status,note,noteId,year,month
30,30,2021-11-21 13:40,lng,大潭CC#2,['大潭'],742.7,197.4,26.58,1,online,部分故障,,2021,11
30,30,2021-11-25 06:10,lng,大潭CC#2,['大潭'],742.7,196.8,26.5,1,online,部分故障,,2021,11
30,30,2021-10-13 06:20,lng,大潭CC#2,['大潭'],742.7,193.4,26.04,1,online,部分故障,,2021,10
30,30,2021-12-14 13:20,lng,大潭CC#2,['大潭'],742.7,199.2,26.82,1,online,部分故障,,2021,12
30,30,2021-06-02 23:10,lng,大潭CC#2,['大潭'],742.7,665.2,89.57,1,online,,,2021,06
30,30,2021-05-31 01:00,lng,大潭CC#2,['大潭'],742.7,506.5,68.2,1,online,,,2021,05
30,30,2021-07-20 21:20,lng,大潭CC#2,['大潭'],742.7,453.0,60.99,1,online,部分故障,,2021,07
30,30,2021-11-03 00:30,lng,大潭CC#2,['大潭'],742.7,194.4,26.17,1,online,部分故障,,2021,11
30,30,2021-06-29 14:40,lng,大潭CC#2,['大潭'],742.7,702.2,94.55,1,online,,,2021,06
30,30,2021-07-24 07:00,lng,大潭CC#2,['大潭'],742.7,400.2,53.88,1,online,部分故障,,2021,07
30,30,2021-06-08 20:00,lng,大潭CC#2,['大潭'],742.7,608.9,81.98,1,online,,,2021,06
30,30,2021-04-17 08:20,lng,大潭CC#2,['大潭'],742.7,618.9,83.33,True,online,,,2021,04
30,30,2021-06-05 20:40,lng,大潭CC#2,['大潭'],742.7,625.3,84.19,1,online,,,2021,06
30,30,2021-05-29 02:00,lng,大潭CC#2,['大潭'],742.7,741.7,99.87,1,online,,,2021,05
30,30,2021-07-03 12:50,lng,大潭CC#2,['大潭'],742.7,672.2,90.51,1,online,,,2021,07
30,30,2021-04-11 10:10,lng,大潭CC#2,['大潭'],742.7,472.3,63.59,True,online,部分檢修,,2021,04
30,30,2021-04-14 07:00,lng,大潭CC#2,['大潭'],742.7,613.0,82.54,True,online,,,2021,04
30,30,2021-11-20 00:30,lng,大潭CC#2,['大潭'],742.7,196.3,26.43,1,online,部分故障,,2021,11
30,30,2021-08-26 22:50,lng,大潭CC#2,['大潭'],742.7,469.4,63.2,1,online,部分故障,,2021,08
30,30,2021-11-18 10:50,lng,大潭CC#2,['大潭'],742.7,196.3,26.43,1,online,部分故障,,2021,11
30,30,2021-06-26 02:00,lng,大潭CC#2,['大潭'],742.7,619.4,83.4,1,online,,,2021,06
30,30,2021-04-16 23:30,lng,大潭CC#2,['大潭'],742.7,617.7,83.17,True,online,,,2021,04
30,30,2021-06-16 21:40,lng,大潭CC#2,['大潭'],742.7,699.8,94.22,1,online,,,2021,06
30,30,2021-08-30 05:40,lng,大潭CC#2,['大潭'],742.7,430.2,57.92,1,online,部分故障,,2021,08
30,30,2021-12-14 15:00,lng,大潭CC#2,['大潭'],742.7,198.6,26.74,1,online,部分故障,,2021,12
30,30,2021-08-09 00:20,lng,大潭CC#2,['大潭'],742.7,454.3,61.17,1,online,部分故障,,2021,08
30,30,2021-11-05 19:40,lng,大潭CC#2,['大潭'],742.7,195.0,26.26,1,online,部分故障,,2021,11
30,30,2021-07-28 05:10,lng,大潭CC#2,['大潭'],742.7,422.2,56.85,1,online,部分故障,,2021,07
30,30,2021-10-29 17:40,lng,大潭CC#2,['大潭'],742.7,192.4,25.91,1,online,部分故障,,2021,10
30,30,2021-08-02 21:30,lng,大潭CC#2,['大潭'],742.7,463.7,62.43,1,online,部分故障,,2021,08
30,30,2021-09-14 11:00,lng,大潭CC#2,['大潭'],742.7,446.1,60.06,1,online,部分故障,,2021,09
30,30,2021-11-10 15:40,lng,大潭CC#2,['大潭'],742.7,194.6,26.2,1,online,部分故障,,2021,11
30,30,2021-07-16 04:20,lng,大潭CC#2,['大潭'],742.7,419.0,56.42,1,online,部分故障,,2021,07
30,30,2021-05-29 09:50,lng,大潭CC#2,['大潭'],742.7,653.9,88.04,1,online,,,2021,05
30,30,2021-11-22 06:00,lng,大潭CC#2,['大潭'],742.7,198.1,26.67,1,online,部分故障,,2021,11
30,30,2021-12-17 03:10,lng,大潭CC#2,['大潭'],742.7,195.4,26.31,1,online,部分故障,,2021,12
30,30,2021-09-16 04:10,lng,大潭CC#2,['大潭'],742.7,459.6,61.88,1,online,部分故障,,2021,09
30,30,2021-07-01 13:00,lng,大潭CC#2,['大潭'],742.7,702.8,94.63,1,online,,,2021,07
